Rank,Title,Year,IMDb Rating,Timestamp
103,Heat,1995,8.3,2025-08-20 20:27:03
104,Double Indemnity,1944,8.3,2025-08-20 20:27:03
105,North by Northwest,1959,8.3,2025-08-20 20:27:03
106,Up,2009,8.3,2025-08-20 20:27:03
107,M,1931,8.3,2025-08-20 20:27:03
108,Citizen Kane,1941,8.2,2025-08-20 20:27:03
109,Full Metal Jacket,1987,8.2,2025-08-20 20:27:03
110,Vertigo,1958,8.2,2025-08-20 20:27:03
111,Amélie,2001,8.3,2025-08-20 20:27:03
112,Like Stars on Earth,2007,8.3,2025-08-20 20:27:03
113,A Separation,2011,8.3,2025-08-20 20:27:03
114,To Kill a Mockingbird,1962,8.3,2025-08-20 20:27:03
115,Die Hard,1988,8.2,2025-08-20 20:27:03
116,Indiana Jones and the Last Crusade,1989,8.2,2025-08-20 20:27:03
117,The Sting,1973,8.2,2025-08-20 20:27:03
118,A Clockwork Orange,1971,8.2,2025-08-20 20:27:03
119,Metropolis,1927,8.3,2025-08-20 20:27:03
120,Oppenheimer,2023,8.3,2025-08-20 20:27:03
121,Snatch,2000,8.2,2025-08-20 20:27:03
122,1917,2019,8.2,2025-08-20 20:27:03
123,The Chaos Class Failed the Class,1975,8.6,2025-08-20 20:27:03
124,L.A. Confidential,1997,8.2,2025-08-20 20:27:03
125,Bicycle Thieves,1948,8.2,2025-08-20 20:27:03
126,Downfall,2004,8.2,2025-08-20 20:27:03
127,Dangal,2016,8.3,2025-08-20 20:27:03
128,The Wolf of Wall Street,2013,8.2,2025-08-20 20:27:03
129,Hamilton,2020,8.3,2025-08-20 20:27:03
130,Green Book,2018,8.2,2025-08-20 20:27:03
131,The Truman Show,1998,8.2,2025-08-20 20:27:03
132,Taxi Driver,1976,8.2,2025-08-20 20:27:03
133,Batman Begins,2005,8.2,2025-08-20 20:27:03
134,For a Few Dollars More,1965,8.2,2025-08-20 20:27:03
135,Judgment at Nuremberg,1961,8.3,2025-08-20 20:27:03
136,Shutter Island,2010,8.2,2025-08-20 20:27:03
137,Some Like It Hot,1959,8.2,2025-08-20 20:27:03
138,Jurassic Park,1993,8.2,2025-08-20 20:27:03
139,The Kid,1921,8.2,2025-08-20 20:27:03
140,The Father,2020,8.2,2025-08-20 20:27:03
141,All About Eve,1950,8.2,2025-08-20 20:27:03
142,There Will Be Blood,2007,8.2,2025-08-20 20:27:03
143,The Sixth Sense,1999,8.2,2025-08-20 20:27:03
144,Ran,1985,8.2,2025-08-20 20:27:03
145,Casino,1995,8.2,2025-08-20 20:27:03
146,Top Gun: Maverick,2022,8.2,2025-08-20 20:27:03
147,No Country for Old Men,2007,8.2,2025-08-20 20:27:03
148,The Thing,1982,8.2,2025-08-20 20:27:03
149,Unforgiven,1992,8.2,2025-08-20 20:27:03
150,Pan's Labyrinth,2006,8.2,2025-08-20 20:27:03
151,Kill Bill: Vol. 1,2003,8.2,2025-08-20 20:27:03
152,A Beautiful Mind,2001,8.2,2025-08-20 20:27:03
153,Prisoners,2013,8.2,2025-08-20 20:27:03
154,The Treasure of the Sierra Madre,1948,8.2,2025-08-20 20:27:03
155,Yojimbo,1961,8.2,2025-08-20 20:27:03
156,Finding Nemo,2003,8.2,2025-08-20 20:27:03
157,Howl's Moving Castle,2004,8.2,2025-08-20 20:27:03
158,The Best of Youth,2003,8.4,2025-08-20 20:27:03
159,The Great Escape,1963,8.2,2025-08-20 20:27:03
160,Monty Python and the Holy Grail,1975,8.2,2025-08-20 20:27:03
161,The Elephant Man,1980,8.2,2025-08-20 20:27:03
162,Klaus,2019,8.2,2025-08-20 20:27:03
163,Dial M for Murder,1954,8.2,2025-08-20 20:27:03
164,Gone with the Wind,1939,8.2,2025-08-20 20:27:03
165,The Secret in Their Eyes,2009,8.2,2025-08-20 20:27:03
166,Chinatown,1974,8.1,2025-08-20 20:27:03
167,"Lock, Stock and Two Smoking Barrels",1998,8.1,2025-08-20 20:27:03
168,Rashomon,1950,8.1,2025-08-20 20:27:03
169,V for Vendetta,2005,8.1,2025-08-20 20:27:03
170,Inside Out,2015,8.1,2025-08-20 20:27:03
171,"Three Billboards Outside Ebbing, Missouri",2017,8.1,2025-08-20 20:27:03
172,Catch Me If You Can,2002,8.1,2025-08-20 20:27:03
173,Trainspotting,1996,8.1,2025-08-20 20:27:03
174,The Bridge on the River Kwai,1957,8.1,2025-08-20 20:27:03
175,Raging Bull,1980,8.1,2025-08-20 20:27:03
176,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,2025-08-20 20:27:03
177,Fargo,1996,8.1,2025-08-20 20:27:03
178,The Wild Robot,2024,8.2,2025-08-20 20:27:03
179,Warrior,2011,8.1,2025-08-20 20:27:03
180,Million Dollar Baby,2004,8.1,2025-08-20 20:27:03
181,Gran Torino,2008,8.1,2025-08-20 20:27:03
182,Ben-Hur,1959,8.1,2025-08-20 20:27:03
183,Dead Poets Society,1989,8.1,2025-08-20 20:27:03
184,Mad Max: Fury Road,2015,8.1,2025-08-20 20:27:03
185,Barry Lyndon,1975,8.1,2025-08-20 20:27:03
186,My Neighbor Totoro,1988,8.1,2025-08-20 20:27:03
187,Children of Heaven,1997,8.2,2025-08-20 20:27:03
188,Hacksaw Ridge,2016,8.1,2025-08-20 20:27:03
189,The Grand Budapest Hotel,2014,8.1,2025-08-20 20:27:03
190,12 Years a Slave,2013,8.1,2025-08-20 20:27:03
191,Before Sunrise,1995,8.1,2025-08-20 20:27:03
192,Spider-Man: No Way Home,2021,8.2,2025-08-20 20:27:03
193,Blade Runner,1982,8.1,2025-08-20 20:27:03
194,Memories of Murder,2003,8.1,2025-08-20 20:27:03
195,Gone Girl,2014,8.1,2025-08-20 20:27:03
196,Ratatouille,2007,8.1,2025-08-20 20:27:03
197,How to Train Your Dragon,2010,8.1,2025-08-20 20:27:03
198,"Monsters, Inc.",2001,8.1,2025-08-20 20:27:03
199,In the Name of the Father,1993,8.1,2025-08-20 20:27:03
200,Jaws,1975,8.1,2025-08-20 20:27:03
201,Wild Tales,2014,8.1,2025-08-20 20:27:03
202,The Gold Rush,1925,8.1,2025-08-20 20:27:03
203,Ford v Ferrari,2019,8.1,2025-08-20 20:27:03
204,Sherlock Jr.,1924,8.1,2025-08-20 20:27:03
205,Mary and Max,2009,8.1,2025-08-20 20:27:03
206,The Deer Hunter,1978,8.1,2025-08-20 20:27:03
207,The Wages of Fear,1953,8.1,2025-08-20 20:27:03
208,The General,1926,8.1,2025-08-20 20:27:03
209,Mr. Smith Goes to Washington,1939,8.1,2025-08-20 20:27:03
210,On the Waterfront,1954,8.1,2025-08-20 20:27:03
211,Logan,2017,8.1,2025-08-20 20:27:03
212,Rocky,1976,8.1,2025-08-20 20:27:03
213,Wild Strawberries,1957,8.1,2025-08-20 20:27:03
214,Tokyo Story,1953,8.1,2025-08-20 20:27:03
215,The Third Man,1949,8.1,2025-08-20 20:27:03
216,Spotlight,2015,8.1,2025-08-20 20:27:03
217,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,2025-08-20 20:27:03
218,Maharaja,2024,8.4,2025-08-20 20:27:03
219,The Terminator,1984,8.1,2025-08-20 20:27:03
220,The Big Lebowski,1998,8.1,2025-08-20 20:27:03
221,La haine,1995,8.1,2025-08-20 20:27:03
222,The Seventh Seal,1957,8.1,2025-08-20 20:27:03
223,Jai Bhim,2021,8.6,2025-08-20 20:27:03
224,Room,2015,8.1,2025-08-20 20:27:03
225,Hotel Rwanda,2004,8.1,2025-08-20 20:27:03
226,Platoon,1986,8.1,2025-08-20 20:27:03
227,The Best Years of Our Lives,1946,8.1,2025-08-20 20:27:03
228,Before Sunset,2004,8.1,2025-08-20 20:27:03
229,The Sound of Music,1965,8.1,2025-08-20 20:27:03
230,The Exorcist,1973,8.1,2025-08-20 20:27:03
231,The Incredibles,2004,8.0,2025-08-20 20:27:03
232,Hachi: A Dog's Tale,2009,8.1,2025-08-20 20:27:03
233,Rush,2013,8.1,2025-08-20 20:27:03
234,The Wizard of Oz,1939,8.1,2025-08-20 20:27:03
235,The Passion of Joan of Arc,1928,8.1,2025-08-20 20:27:03
236,Stand by Me,1986,8.1,2025-08-20 20:27:03
237,A Silent Voice: The Movie,2016,8.1,2025-08-20 20:27:03
238,The Iron Giant,1999,8.1,2025-08-20 20:27:03
239,My Father and My Son,2005,8.2,2025-08-20 20:27:03
240,Network,1976,8.1,2025-08-20 20:27:03
241,The Handmaiden,2016,8.1,2025-08-20 20:27:03
242,The Battle of Algiers,1966,8.1,2025-08-20 20:27:03
243,The Grapes of Wrath,1940,8.1,2025-08-20 20:27:03
244,To Be or Not to Be,1942,8.1,2025-08-20 20:27:03
245,Into the Wild,2007,8.0,2025-08-20 20:27:03
246,The Help,2011,8.1,2025-08-20 20:27:03
247,Groundhog Day,1993,8.0,2025-08-20 20:27:03
248,Drishyam,2015,8.2,2025-08-20 20:27:03
249,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,2025-08-20 20:27:03
250,Gangs of Wasseypur,2012,8.2,2025-08-20 20:27:03
